bgg_rank,name,hf
655,Star Trek: Ascendancy,1.2407
656,Detective: City of Angels,1.6667
657,Dice Throne: Season One,2.03
658,Roads & Boats,1.3179
659,Vinhos,1.229
660,Let's Go! To Japan,1.7019
661,Egizia,1.315
662,Knarr,2.2475
663,Azul: Queen's Garden,1.8471
664,Weather Machine,1.393
665,Unlock!: Heroic Adventures,1.5019
666,Tobago,1.3169
667,Triumph & Tragedy: European Balance of Power 1936-1945,1.2956
668,Take 5,2.0984
669,Creature Comforts,1.3234
670,AquaSphere,1.2244
671,BattleCON: Devastation of Indines,2.3889
672,Project: ELITE,1.628
673,My Father's Work,1.196
674,Paperback,1.6267
675,Coup,3.4181
676,The Colonists,1.3878
677,Unmatched: Jurassic Park – InGen vs Raptors,1.4886
678,Cooper Island,1.4285
679,Cuba Libre,1.2895
680,Shards of Infinity,2.8537
681,Silver & Gold,1.8395
682,HeroQuest,2.7417
683,Struggle of Empires,1.1132
684,Automobile,1.1378
685,Bullet♥︎,2.7393
686,Coloretto,2.2135
687,Scholars of the South Tigris,1.51
688,Medici,1.3333
689,Unmatched Game System,3.2778
690,Barcelona,1.3199
691,Francis Drake,1.122
692,Whitehall Mystery,1.6385
693,War of the Ring: The Card Game,1.5
694,Thebes,1.2219
695,Carson City,1.2273
696,The Battle of Five Armies,1.306
697,Zombicide: Green Horde,1.8032
698,Zombicide,1.945
699,Evolution,1.5136
700,A Game of Thrones,1.2857
701,Gears of War: The Board Game,1.7619
702,Trio,3.6768
703,Golem,1.3692
704,Conan,1.7024
705,First Rat,1.3297
706,Quantum,1.5459
707,Hammer of the Scots,1.4211
708,Star Wars: Destiny,4.8176
709,Three Sisters,1.7244
710,Yellow & Yangtze,1.4958
711,A Fake Artist Goes to New York,2.5053
712,HITSTER,2.5062
713,Betrayal at House on the Hill,1.4645
714,Formula D,1.4741
715,A Game of Thrones: The Card Game (Second Edition),4.1667
716,Telestrations: 12 Player Party Pack,1.9389
717,The Downfall of Pompeii,1.475
718,Mosaic: A Story of Civilization,1.1875
719,Photosynthesis,1.2413
720,Blood Bowl (2016 Edition),2.4029
721,Mare Nostrum: Empires,1.1992
722,Time's Up!,1.5205
723,Between Two Castles of Mad King Ludwig,1.2756
724,Taluva,1.8014
725,Living Forest,1.8659
726,Disney Villainous: Wicked to the Core,1.3022
727,Kingdom Builder,2.0926
728,Cacao,1.6673
729,Beer & Bread,1.4248
730,Magic Maze,2.7182
731,Lord of the Rings: The Confrontation,2.0548
732,Brian Boru: High King of Ireland,1.2181
733,Elder Sign,1.7731
734,Cribbage,4.0058
735,Mille Fiori,1.3764
736,Trains,1.4076
737,Pax Renaissance,1.7348
738,Fort,1.3656
739,Mr. Jack,2.1414
740,High Frontier 4 All,1.6951
741,Chronicles of Crime: 1400,1.5168
742,Dominant Species: Marine,1.1693
743,One Night Ultimate Werewolf: Daybreak,3.3417
744,Star Wars: The Clone Wars,1.4781
745,Bloodborne: The Board Game,2.211
746,Merv: The Heart of the Silk Road,1.276
747,Trails of Tucana,2.2494
748,Verdant,1.6504
749,The Adventures of Robin Hood,2.13
750,Civilization: A New Dawn,1.288
751,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2.1429
752,The Republic of Rome,1.1464
753,Snowdonia,1.336
754,Churchill,1.1905
755,Railroad Ink Challenge: Lush Green Edition,2.0752
756,Shakespeare,1.2489
757,Unlock!: Timeless Adventures,1.5658
758,Summoner Wars,2.375
759,Twilight Inscription,1.3453
760,Feudum,1.2324
761,Sub Terra,1.5421
762,Escape: The Curse of the Temple,2.5269
763,The Magnificent,1.3498
764,Disney Villainous: Evil Comes Prepared,1.2792
765,The Oracle of Delphi,1.4177
766,AuZtralia,1.4557
767,Torres,1.2819
768,Can't Stop,2.8533
769,KeyForge: Call of the Archons,4.1295
770,Belfort,1.1686
771,Ascension: Deckbuilding Game,5.6276
772,Cuba,1.2198
773,Mexica,1.129
774,Ticket to Ride: Rails & Sails,1.3425
775,D-Day at Omaha Beach,1.694
776,Treasure Island,1.3289
777,Whistle Mountain,1.1644
778,Federation,1.2909
779,The Bloody Inn,1.5833
780,Yamataï,1.161
781,Babylonia,1.5714
782,Tokaido,1.5864
783,7 Wonders: Architects,2.7493
784,Ashes Reborn: Rise of the Phoenixborn,2.3055
785,Oh My Goods!,1.8172
786,Luna,1.2105
787,The Estates,1.2709
788,Shikoku 1889,1.2222
789,Dixit: Journey,1.3443
790,Onirim (Second Edition),5.5154
791,Love Letter: Batman,1.7939
792,Century: A New World,1.3651
793,The Shipwreck Arcana,1.8531
794,Carcassonne: The Castle,1.8036
795,Myrmes,1.2357
796,Space Hulk: Death Angel – The Card Game,1.8562
797,Trismegistus: The Ultimate Formula,1.3924
798,Exit: The Game – The Pharaoh's Tomb,1.0116
799,Top Ten,1.8868
800,Arkwright,1.1633
801,Tash-Kalar: Arena of Legends,1.9692
802,Fury of Dracula (Second Edition),1.2667
803,Smash Up: Awesome Level 9000,1.5
804,Wir sind das Volk!,1.7207
805,Daybreak,2.6471
806,Dragon Castle,1.4911
807,Star Wars: Unlimited,9.6691
808,Shadows of Brimstone: Swamps of Death,2.0822
809,Maquis,2.8081
810,Diplomacy,1.4286
811,Earth Reborn,1.7625
812,BANG! The Dice Game,2.3244
813,Wits & Wagers,1.8035
814,Menara,1.8074
815,Leaving Earth,1.5714
816,City of the Big Shoulders,1.3483
817,Prêt-à-Porter,1.1765
818,Defenders of the Realm,1.5251
819,Witchstone,1.2897
820,Caesar!: Seize Rome in 20 Minutes!,2.3084
821,Steampunk Rally,1.224
822,Crystal Palace,1.1667
823,Messina 1347,1.3879
824,Empire of the Sun: The Pacific War 1941-1945,1.4118
825,K2,1.4317
826,Coal Baron,1.1892
827,My Little Scythe,1.4236
828,Villagers,1.588
829,ZhanGuo,1.1667
830,Specter Ops,1.3001
831,Century: Eastern Wonders,1.3281
