hf_rank,bgg_rank,name,hyperfixation
511,706,Quantum,1.5459
512,287,Galaxy Trucker,1.5442
513,21,Brass: Lancashire,1.5441
514,610,Dinosaur Island: Rawr 'n Write,1.5441
515,429,Fall of Rome,1.5426
516,761,Sub Terra,1.5421
517,484,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1.5415
518,992,Formula Dé,1.5407
519,137,Russian Railroads,1.5405
520,64,Grand Austria Hotel,1.5391
521,149,Iberia,1.5382
522,364,Awkward Guests: The Walton Case,1.5382
523,353,Glass Road,1.5374
524,212,Castles of Mad King Ludwig,1.5371
525,241,The Taverns of Tiefenthal,1.5362
526,581,Alhambra,1.5333
527,332,Arkham Horror (Third Edition),1.533
528,69,Clans of Caledonia,1.5324
529,871,Ricochet Robots,1.5318
530,343,Cat in the Box: Deluxe Edition,1.5317
531,295,Monikers,1.5309
532,917,King of New York,1.5291
533,901,Unlock!: Epic Adventures,1.5286
534,99,The Voyages of Marco Polo,1.5285
535,92,Beyond the Sun,1.5257
536,217,Azul: Summer Pavilion,1.5256
537,818,Defenders of the Realm,1.5251
538,344,The Great Zimbabwe,1.5244
539,722,Time's Up!,1.5205
540,534,Fantastic Factories,1.5191
541,941,Roam,1.5185
542,741,Chronicles of Crime: 1400,1.5168
543,114,Carnegie,1.5139
544,699,Evolution,1.5136
545,631,Vikings,1.5133
546,593,Blackout: Hong Kong,1.5123
547,532,Trekking Through History,1.5121
548,8,War of the Ring: Second Edition,1.5114
549,182,Viscounts of the West Kingdom,1.5112
550,575,Dune: War for Arrakis,1.5111
551,145,Arcs,1.5109
552,687,Scholars of the South Tigris,1.51
553,521,Colt Express,1.5055
554,113,Architects of the West Kingdom,1.5048
555,90,Teotihuacan: City of Gods,1.5025
556,665,Unlock!: Heroic Adventures,1.5019
557,842,New Frontiers,1.5004
558,693,War of the Ring: The Card Game,1.5
559,803,Smash Up: Awesome Level 9000,1.5
560,875,Caverna: Cave vs Cave,1.5
561,370,Wayfarers of the South Tigris,1.4978
562,70,Le Havre,1.4965
563,710,Yellow & Yangtze,1.4958
564,159,Wyrmspan,1.4937
565,614,First Class: All Aboard the Orient Express!,1.4922
566,806,Dragon Castle,1.4911
567,36,Barrage,1.49
